Column1,R_kpc,+R,-RColumn4,v_km/s,+v,-v
,10.747,9.195,12.299,170.272,131.465,209.078
,8.073,8.046,8.099,187.494,186.515,188.472
,9.834,8.92,10.748,184.67,161.761,207.579
,8.26,8.158,8.361,189.373,186.781,191.965
,8.462,8.3,8.623,188.915,184.846,192.984
,8.177,8.112,8.243,193.441,191.241,195.642
,9.447,8.809,10.084,179.11,163.166,195.055
,8.305,8.266,8.344,198.369,196.942,199.796
,9.577,9.396,9.758,188.017,183.463,192.57
,10.97,9.743,12.197,350.982,320.279,381.685
,8.562,8.374,8.751,201.026,196.227,205.824
,11.839,10.293,13.385,215.606,176.902,254.309
,11.839,10.293,13.385,215.606,176.902,254.309
,9.207,8.972,9.442,177.061,170.812,183.31
,9.396,8.847,9.946,164.06,150.271,177.849
,9.585,8.828,10.342,167.46,148.506,186.415
,9.41,8.857,9.963,169.446,155.599,183.294
,9.869,9.142,10.596,187.174,168.994,205.353
,9.164,8.744,9.583,173.001,161.723,184.279
,8.785,8.505,9.065,179.804,172.718,186.89
,10.242,9.389,11.095,198.292,176.909,219.675
,9.291,8.839,9.743,174.977,163.614,186.339
,9.618,8.997,10.238,192.827,176.993,208.661
,8.98,8.66,9.3,159.935,151.919,167.951
,9.52,8.967,10.073,190.702,176.879,204.525
,9.383,8.893,9.872,191.772,179.462,204.082
,9.572,9.413,9.732,163.145,154.799,171.491
,9.669,9.419,9.92,220.832,213.886,227.779
,8.628,8.387,8.869,196.398,189.619,203.177
,10.997,11.744,10.249,211.471,192.755,230.187
,15.113,14.339,15.886,259.059,239.7,278.419
,15.705,13.377,18.034,177.105,118.673,235.537
,13.569,11.827,15.311,190.135,146.541,233.728
,13.685,13.103,14.267,196.967,182.4,211.534
,12.992,12.211,13.773,231.11,211.352,250.868
,12.022,11.439,12.605,195.996,181.021,210.97
,8.378,8.34,8.416,231.714,222.55,240.877
,11.457,10.366,12.547,219.98,189.632,250.328
,12.335,11.939,12.732,203.363,193.18,213.547
,16.197,13.613,18.781,198.296,133.654,262.938
,8.436,8.3,8.572,209.601,204.257,214.946
,8.383,8.259,8.508,165.661,162.084,169.239
,11.694,10.713,12.675,201.978,177.328,226.629
,12.656,12.165,13.146,210.216,197.842,222.589
,8.741,8.601,8.881,199.124,194.804,203.444
,9.453,9.269,9.638,199.12,194.499,203.741
,8.441,8.396,8.485,192.557,189.094,196.021
,16.488,13.679,19.297,213.225,142.786,283.663
,12.716,11.962,13.471,182.367,163.456,201.279
,14.26,13.595,14.925,211.374,194.631,228.116
,10.701,9.991,11.41,208.617,190.831,226.404
,10.508,9.453,11.563,143.702,117.299,170.104
,8.862,8.753,8.971,192.245,189.166,195.324
,11.745,10.424,13.065,224.305,191.264,257.346
,11.3,10.799,11.801,195.921,183.382,208.459
,12.465,11.687,13.243,205.838,186.377,225.299
,9.498,8.978,10.018,212.639,199.633,225.645
,11.841,10.667,13.015,215.109,185.754,244.464
,9.447,9.085,9.809,169.068,159.98,178.156
,12.049,11.376,12.722,219.964,203.021,236.907
,8.853,8.54,9.166,192.623,184.712,200.534
,10.507,10.066,10.947,187.622,176.474,198.77
,16.083,13.378,18.788,319.194,251.561,386.828
,2.8,2.8,2.8,196,180,212
,3.6,3.6,3.6,208,193,223
,4.4,4.4,4.4,215,195,235
,5.2,5.2,5.2,205,193,217
,6,6,6,211,205,217
,6.8,6.8,6.8,208,200,216
,7.6,7.6,7.6,203,195,211
,8,8,8,200,200,200
,9.12,8.8,9.44,193,186.5,199.5
,10.4,9.68,11.12,214,198,230
,11.2,10.4,12,225,207,243
,11.92,10.96,12.88,223,202,244
,12.72,11.84,13.6,222.5,205.5,239.5
,13.44,12.64,14.24,218,204,232
,14.4,13.52,15.28,225,209,241
,15.6,14.32,16.88,235,210,260
,16.88,15.6,18.16,232,212,252
,17.76,15.6,19.92,222,189,255
,19.52,17.28,21.76,219.5,189.5,249.5
,20.24,17.44,23.04,202.5,168.5,236.5
